"Created by MOBILEstatistics - INIT Inc."

"No","Stop","Average","Std.dev.","Minimum","Maximum","#Stops","Graphic"
"65","Market & Bradley (NW Corner),4","0:01:05","0:01:58","-0:01:49","0:11:39","240",""
"66","State & Tremont (NW Corner),4","0:00:34","0:02:07","-0:02:40","0:10:38","240",""
"67","Lyndhurst & Burwash (NW Corner),4","0:03:10","0:03:14","-0:02:56","0:14:10","251",""
"68","Fox at Christie Clinic (NW Corner),4","0:03:32","0:02:58","-0:01:57","0:14:08","251",""
"69","St. Mary's & Griffith (SW Corner),3","0:01:49","0:02:40","-0:03:17","0:18:22","231",""
"70","Fox & Knollwood (SE Corner),2","0:02:18","0:02:37","-0:02:14","0:18:32","231",""
"71","Lyndhurst & Old Maple Lane (SE Corner),2","0:02:51","0:02:41","-0:01:45","0:19:02","231",""
"72","Woodfield & Arbor Town (SE Corner),2","0:03:00","0:02:28","-0:01:01","0:18:16","231",""
"73","Walnut & Logan (NE Corner),1","0:02:42","0:02:17","-0:00:52","0:13:07","226",""
"74","Town Center & Menards (NE Corner),1","0:03:09","0:02:53","-0:01:47","0:13:40","231",""
"75","Boardwalk & Town Center (NE Corner),1","0:03:17","0:03:04","-0:02:31","0:15:02","231",""
"76","Prospect at Meijer (NW Corner),4","0:00:59","0:02:20","-0:01:45","0:10:43","230",""
"77","First & St. Mary's (NW Corner),4","0:03:35","0:03:08","-0:02:02","0:17:37","514",""
"78","U of I Credit Union (NW Far Side),8","0:03:06","0:03:07","-0:01:44","0:17:26","268",""
"79","First & Gregory (SE Corner),2","0:02:53","0:02:30","-0:15:32","0:19:59","822",""
"80","Fourth & Armory (SE Corner),2","0:02:06","0:02:36","-0:16:17","0:20:10","859",""
"81","Oak St. (East Side),2","0:01:25","0:02:58","-0:06:58","0:17:18","292",""
"82","Market Place South,1","0:01:02","0:01:47","-0:07:50","0:09:47","240",""
"83","Neil & Hill (NW Corner),4","0:00:53","0:02:14","-0:03:06","0:11:04","240",""
"84","Bradley & Champaign (NE Corner),1","0:00:58","0:01:57","-0:01:55","0:11:27","240",""
"85","Market & Marketview (SW Corner),3","0:02:09","0:01:45","-0:00:41","0:12:26","240",""
"86","State & Beardsley (NW Corner),4","0:00:51","0:02:06","-0:02:38","0:11:00","240",""
"87","Fox & State (NE Corner),1","0:04:19","0:02:59","-0:01:35","0:14:56","251",""
"88","Fox & Knollwood (NW Corner),4","0:03:35","0:02:58","-0:01:51","0:14:11","251",""
"89","Lyndhurst & Park Ln (NW Corner),4","0:03:38","0:03:06","-0:02:02","0:13:55","251",""
"90","Fox & State (South Side),3","0:01:38","0:02:41","-0:03:10","0:17:44","231",""
"91","Lyndhurst & Burwash (NE Corner),1","0:03:19","0:02:38","-0:01:02","0:19:24","231",""
"92","The Place at 117 (East Side),2","0:02:34","0:02:34","-0:01:27","0:15:37","353",""
"93","Market Place Southeast (South Side),3","0:02:36","0:02:57","-0:02:40","0:12:45","232",""
"94","Market Place North Entrance (East Side),2","0:02:54","0:02:56","-0:03:02","0:13:20","463",""
"95","Randolph & Beardsley (SE),2","0:02:47","0:02:34","-0:01:57","0:12:46","232",""
"96","Town Center at Meijer (North Side),8","0:03:23","0:03:03","-0:02:17","0:14:58","231",""
"97","Church & Denton (SE Far Side),6","0:02:16","0:02:10","-0:00:42","0:14:03","229",""
"98","Fox at Christie Clinic (SE Corner),2","0:02:21","0:02:38","-0:02:18","0:18:33","231",""
"99","First & Lake Park North (NW Corner),4","0:02:35","0:03:08","-0:01:54","0:15:38","175",""
"100","Sixth & Gregory (SE Corner),2","-0:00:22","0:01:25","-0:01:24","0:02:50","10",""
"101","Kirby & Oak (SW Far Side),7","0:04:29","0:03:06","-0:00:23","0:18:13","524",""
"102","Lot E-14 (South Shelter),1","0:03:45","0:03:07","-0:02:03","0:18:09","521",""
"103","Market & Garwood (SE Corner),2","0:03:25","0:02:40","-0:01:30","0:13:17","232",""
"104","Marketview at Marketview Center,2","0:02:32","0:02:50","-0:02:30","0:12:59","232",""
"105","Meijer Drive & Prospect (NW Corner),4","0:01:29","0:02:19","-0:01:08","0:10:43","230",""
"106","Fourth & Pennsylvania (SE Corner),2","0:01:30","0:01:27","0:00:21","0:04:32","10",""
"107","Sixth & Peabody (SE Corner),2","-0:00:27","0:01:21","-0:01:32","0:02:42","9",""
"108","Sixth & Gregory (NW Corner),4","0:03:14","0:02:50","-0:02:22","0:17:24","750",""
"109","Transit Plaza (SW Platform),3","0:02:38","0:02:33","-0:02:28","0:14:06","754",""
"110","Wright & Chalmers (NW Corner),4","0:02:46","0:02:36","-0:01:59","0:15:33","751",""
"111","First & Gregory (NE Corner),1","0:03:58","0:03:00","-0:01:53","0:18:19","748",""
"112","Lot E-14 (North Shelter),2","0:01:34","0:02:36","-0:15:58","0:18:04","1,049",""
"113","Transit Plaza (SE Platform),4","0:01:33","0:02:45","-0:16:53","0:18:10","865",""
"114","White Street Mid-Block (North Side),2","0:01:29","0:02:53","-0:17:14","0:16:18","815",""
"115","Market Place & Convenience Dr. (NE),1","0:01:11","0:01:36","-0:01:34","0:09:54","236",""
"116","Main & Chestnut (SW Corner),3","0:01:04","0:02:19","-0:03:19","0:10:54","240",""
"117","Randolph & Bradley (NE Corner),1","0:00:46","0:02:03","-0:02:28","0:10:59","240",""
"118","Bradley & Hickory (NE Corner),1","0:00:41","0:01:58","-0:02:17","0:11:01","240",""
"119","Market & Garwood (NW Corner),4","0:00:59","0:01:57","-0:02:01","0:11:38","240",""
"120","Market & Roper (West Side),4","0:01:18","0:01:56","-0:01:48","0:11:58","240",""
"121","Barnes & Noble Books (NW),4","0:01:56","0:01:38","-0:00:52","0:10:16","239",""
"122","Lyndhurst & Old Maple Lane (NW Corner),4","0:03:28","0:03:09","-0:02:36","0:13:57","251",""
"123","Neil & Burwash (SW Corner),3","0:03:09","0:03:16","-0:03:00","0:14:07","251",""
"124","St. Mary's & Oak (SW Corner),3","0:01:39","0:02:54","-0:15:17","0:18:20","231",""
"125","Lyndhurst & Park Ln (SE Corner),2","0:02:18","0:02:42","-0:02:15","0:18:31","231",""
"126","Burwash & Woodfield (NE Corner),1","0:03:30","0:02:38","-0:00:55","0:19:25","231",""
"127","Lyndhurst & Lyndhurst Village Ct. (SE),2","0:03:07","0:02:39","-0:01:22","0:19:13","231",""
"128","Neil & Center Dr.,2","0:02:42","0:02:53","-0:02:38","0:12:57","232",""
"129","Town Center & Moreland (NE Corner),1","0:03:21","0:02:52","-0:01:33","0:13:37","231",""
"130","Boardwalk & Meijer Dr. (SE Corner),2","0:02:47","0:03:02","-0:03:10","0:14:31","231",""
"131","Randolph & Eureka (East Side),2","0:02:52","0:02:33","-0:01:40","0:12:48","232",""
"132","Bradley & Neil (SW Corner),3","0:03:19","0:02:35","-0:01:47","0:13:19","232",""
"133","Barnes & Noble Books (East Side),2","0:02:24","0:02:46","-0:02:29","0:12:33","232",""
"134","Parkview (North Side),2","0:02:52","0:02:10","-0:00:19","0:15:44","230",""
"135","First & Lake Park North (East Side),2","0:02:03","0:02:11","-0:01:22","0:14:17","230",""
"136","Market Place West (East Side),2","0:00:44","0:02:29","-0:03:14","0:09:21","230",""
"137","Town Center & Menards (SW Corner),3","0:00:38","0:02:26","-0:03:00","0:10:14","230",""
"138","Sixth & Armory (NW Corner),4","0:03:09","0:02:43","-0:02:00","0:16:40","750",""
"139","Wright & Healey (NW Corner),4","0:01:53","0:02:25","-0:03:08","0:12:49","750",""
"140","First & Hazelwood (NW Corner),4","0:03:01","0:03:10","-0:01:46","0:17:29","273",""
"141","Market Place (NE Mall Entrance),1","0:02:12","0:02:33","-0:05:49","0:13:18","474",""
"142","Fox at Rosecrance (West Side),1","0:04:05","0:02:59","-0:01:47","0:14:43","251",""
"143","Lyndhurst & Bedford (NW Corner),4","0:03:41","0:03:07","-0:02:00","0:14:06","251",""
"144","Lyndhurst & Arbours Drive (NW Corner),4","0:03:22","0:03:10","-0:02:49","0:13:46","251",""
"145","Burwash & Woodfield (SW Corner),3","0:03:03","0:03:14","-0:02:45","0:14:01","251",""
"146","Fox & Windsor (NE Far Side),5","0:02:05","0:02:38","-0:02:25","0:17:57","233",""
"147","Woodfield & Curtis (NE Far Side),5","0:03:22","0:02:27","-0:00:57","0:18:31","231",""
"148","Walnut & Washington (SE Corner),2","0:02:45","0:02:21","-0:01:11","0:12:55","230",""
"149","Neil & Columbia (NE Corner),1","0:03:08","0:02:26","-0:01:06","0:13:24","230",""
"150","Neil & Marketview (NE Corner),1","0:02:41","0:02:51","-0:02:29","0:12:52","232",""
"151","Market Place West (West Side),4","0:02:50","0:02:48","-0:01:27","0:12:53","231",""
"152","Town Center at Target (NE Corner),1","0:03:07","0:02:57","-0:01:56","0:15:00","231",""
"153","Walnut & Columbia (SE Corner),2","0:02:52","0:02:22","-0:01:06","0:13:21","230",""
"154","Randolph & Tremont (East Side),2","0:03:05","0:02:32","-0:01:25","0:13:09","232",""
"155","Bradley & Champaign (SW Corner),3","0:03:02","0:02:36","-0:01:26","0:13:06","232",""
"156","Market & Tulip Tree (SE Corner),2","0:02:47","0:02:43","-0:02:00","0:12:32","232",""
"157","Walnut & University (SE Corner),2","0:03:07","0:02:18","-0:00:28","0:13:38","233",""
"158","Colbert Park (South Side),1","0:02:33","0:02:23","-0:04:31","0:14:19","245",""
"159","First & Lake Park South (East Side),2","0:02:12","0:02:11","-0:01:12","0:14:24","228",""
"160","Parkview (South Side),1","0:02:46","0:03:09","-0:03:04","0:13:59","200",""
"161","Prospect & Interstate (SW Far Side),7","0:01:29","0:02:18","-0:01:11","0:10:12","230",""
"162","Colbert Park (North Side),2","0:03:04","0:03:12","-0:01:45","0:16:42","199",""
"163","West Pull Out,1","0:00:06","0:02:29","-0:06:44","0:05:56","41",""
