"Created by MOBILEstatistics - INIT Inc."

"No","Stop","#Drive-throughs","#Stops","Percentage [%]","Graphic"
"115","Prospect & Interstate (SW Far Side),7","192","230","83",""
"116","Market & Marketview (NW Far Side),8","196","232","84",""
"117","Main & Walnut (SE Corner),2","196","233","84",""
"118","Fox at Community Elements (West Side),1","212","251","84",""
"119","Market Place South,1","203","240","85",""
"120","Meijer Drive & Prospect (NW Corner),4","195","230","85",""
"121","Market & Bradley (NW Corner),4","203","240","85",""
"122","Prospect at Meijer (NW Corner),4","197","230","86",""
"123","Fox at Remax (East Side),2","199","231","86",""
"124","Randolph & Eureka (East Side),2","199","232","86",""
"125","Neil & Burwash (SW Corner),3","216","251","86",""
"126","Bradley & Neil (SW Corner),3","200","232","86",""
"127","Lyndhurst & Park Ln (SE Corner),2","199","231","86",""
"128","Randolph & Bradley (SE Corner),2","201","232","87",""
"129","Market & Roper (NE Far Side),5","202","231","87",""
"130","Lyndhurst & Park Ln (NW Corner),4","218","251","87",""
"131","Town Center & Menards (NE Corner),1","201","231","87",""
"132","Boardwalk & Meijer Dr. (SE Corner),2","200","231","87",""
"133","Lyndhurst & Arbours Drive (NW Corner),4","219","251","87",""
"134","West Pull Out,1","36","41","88",""
"135","Market Place North Entrance (East Side),2","414","463","89",""
"136","Randolph & Vine (SE Corner),2","207","232","89",""
"137","Fox at SURS (East Side),2","208","231","90",""
"138","Market Place Southeast (South Side),3","208","232","90",""
"139","Bradley & Champaign (NE Corner),1","217","240","90",""
"140","Town Center & Neil (NE Corner),1","211","231","91",""
"141","St. Mary's & Oak (SW Corner),3","211","231","91",""
"142","Fox & Windsor (NE Far Side),5","212","233","91",""
"143","Fox at SURS (West Side),1","230","251","92",""
"144","Oak St. (East Side),2","270","292","92",""
"145","St. Mary's & Griffith (NE Corner),1","230","251","92",""
"146","Market Place Southeast (North Side),4","218","236","92",""
"147","Fox at Christie Clinic (SE Corner),2","215","231","93",""
"148","St. Mary's & Griffith (SW Corner),3","214","231","93",""
"149","Lyndhurst & Old Maple Lane (NW Corner),4","233","251","93",""
"150","Fox at Christie Clinic (NW Corner),4","235","251","94",""
"151","Town Center & Menards (SW Corner),3","216","230","94",""
"152","Burwash & Woodfield (NE Corner),1","218","231","94",""
"153","Market Place West (West Side),4","220","231","95",""
"154","Lyndhurst & Old Maple Lane (SE Corner),2","222","231","96",""
"155","Market Place West (East Side),2","221","230","96",""
"156","Lyndhurst & Bedford (NW Corner),4","240","251","96",""
"157","First & Lake Park South (NW Corner),4","190","195","97",""
"158","Lyndhurst & Bedford (SE Corner),2","224","231","97",""
"159","St. Mary's & Oak (SE Corner),2","283","292","97",""
"160","First & Lake Park North (NW Corner),4","174","175","99",""
"161","Market Place & Convenience Dr. (NE),1","233","236","99",""
"162","First & Lake Park North (East Side),2","230","230","100",""
"163","First & Lake Park South (East Side),2","228","228","100",""
